date,inflation_rate_pct,all_items_index
2022-01-01,3.997044423844387,105.59163825727232
2022-02-01,3.6735813194424427,106.20176419805891
2022-03-01,3.5523671710834925,107.08501249675413
2022-04-01,3.783245850918937,107.87797310913874
2022-05-01,4.026812085982612,108.42051552787056
2022-06-01,4.436698099784819,108.92936004971087
2022-07-01,4.5374990509845725,109.04993840417167
2022-08-01,4.649160538109398,108.62674364131274
2022-09-01,4.839360260234615,108.72802310759407
2022-10-01,4.9422496334237564,108.72933717170825
2022-11-01,4.8788649572730325,109.15565630169696
2022-12-31,4.842713781268393,110.0059862738567
2023-01-01,4.941069271691112,110.80899424867764
2023-02-01,4.777182347150166,111.27521612969062
2023-03-01,4.7073497564106725,112.12587857167243
2023-04-01,4.319197754401838,112.53743610116287
2023-05-01,3.9655169718367578,112.71994947208118
2023-06-01,3.5651235186964003,112.81282628360859
2023-07-01,3.318709579798851,112.66898915675567
2023-08-01,3.3377848932890197,112.25247068064428
2023-09-01,3.3293763179990776,112.34798815996687
2023-10-01,3.1698353082902475,112.17587809184703
2023-11-01,3.2219852960810424,112.6726354975784
2023-12-01,3.031404379435143,113.34071255940322
2024-01-01,2.95991966862994,114.08885146405525
2024-02-01,3.028732947088386,114.64544526255436
2024-03-01,3.0166409861265286,115.50831378071997
2024-04-01,3.126488350131984,116.05590593040294
2024-05-01,3.071539799611389,116.182187582218
2024-06-01,3.0919731384574156,116.30096856903239
2024-07-01,2.9937482459070353,116.04201504331722
2024-08-01,3.146502784692662,115.78449779649706
2024-09-01,3.1434429945986997,115.87958312335394
2024-10-01,2.9997170512018556,115.54083703430358
2024-11-01,2.9969813418943003,116.0494133608614
