date,headline,url,source
"Aug 21, 2023",Tanzania woos Ugandan traders with free port storage,https://www.thecitizen.co.tz/tanzania/business/tanzania-woos-ugandan-traders-with-free-port-storage--4341884,The Citizen
"Aug 18, 2023",Deal gives Tanzania’s graphite mining new push,https://www.thecitizen.co.tz/tanzania/business/deal-gives-tanzania-s-graphite-mining-new-push-4339568,The Citizen
"Aug 17, 2023",Tanzanian shilling hits all-time low against dollar,https://www.thecitizen.co.tz/tanzania/business/tanzanian-shilling-hits-all-time-low-against-dollar-4338402,The Citizen
"Aug 14, 2023",15 lenders vanish in five years as banking industry consolidates,https://www.thecitizen.co.tz/tanzania/business/15-lenders-vanish-in-five-years-as-banking-industry-consolidates-4335316,The Citizen
