date,headline,url,source,scraped_on
2023-08-21,Tanzania woos Ugandan traders with free port storage,https://www.thecitizen.co.tz/tanzania/business/tanzania-woos-ugandan-traders-with-free-port-storage--4341884,The Citizen,2026-05-19
2023-08-18,Deal gives Tanzania’s graphite mining new push,https://www.thecitizen.co.tz/tanzania/business/deal-gives-tanzania-s-graphite-mining-new-push-4339568,The Citizen,2026-05-19
2023-08-17,Tanzanian shilling hits all-time low against dollar,https://www.thecitizen.co.tz/tanzania/business/tanzanian-shilling-hits-all-time-low-against-dollar-4338402,The Citizen,2026-05-19
2023-08-14,15 banks vanish in five years,https://www.thecitizen.co.tz/tanzania/business/15-lenders-vanish-in-five-years-as-banking-industry-consolidates-4335316,The Citizen,2026-05-19
