YearMonth,num_headlines,Top_Category,category %,Negative %,Neutral %,Positive %,Dominant_Sentiment,Inflation %,USD/TZS_Rate,Rate_Change_%
2022-01,50,Policy,22.0,22.0,12.0,66.0,Positive,3.997044423844387,2303.3809523809523,0.0
2022-02,38,Trade,22.86,10.53,7.89,81.58,Positive,3.6735813194424423,2308.8,0.23526493146721617
2022-03,46,Policy,39.13,10.87,6.52,82.61,Positive,3.5523671710834925,2312.5652173913045,0.16308114134200302
2022-04,44,Investment,27.91,27.27,11.36,61.36,Positive,3.783245850918937,2317.7619047619046,0.22471527857979012
2022-05,45,Investment,20.0,11.11,13.33,75.56,Positive,4.026812085982612,2320.818181818182,0.13186328802790026
2022-06,60,Policy,21.67,20.0,13.33,66.67,Positive,4.436698099784819,2326.090909090909,0.22719260448900158
2022-07,59,Banking,18.64,6.78,15.25,77.97,Positive,4.5374990509845725,2327.0,0.03908234650409348
2022-08,107,Policy,21.9,9.35,9.35,81.31,Positive,4.649160538109398,2326.695652173913,-0.0130789783449492
2022-09,197,Banking,21.99,8.63,8.63,82.74,Positive,4.839360260234615,2326.318181818182,-0.016223452146757467
2022-10,192,Agriculture,28.8,6.25,6.25,87.5,Positive,4.9422496334237564,2326.5238095238096,0.008839190925580276
2022-11,174,Agriculture,21.05,9.77,12.07,78.16,Positive,4.8788649572730325,2326.818181818182,0.012652881228514268
2022-12,150,Banking,19.46,12.0,13.33,74.67,Positive,4.842713781268393,2328.0454545454545,0.05274467669464933
2023-01,175,Agriculture,22.99,8.0,10.29,81.71,Positive,4.941069271691112,2331.5,0.1483882304703643
2023-02,141,Banking,19.26,7.8,7.8,84.4,Positive,4.777182347150166,2334.25,0.11794981771391377
2023-03,135,Investment,24.06,5.19,11.11,83.7,Positive,4.7073497564106725,2335.086956521739,0.035855479136293056
2023-04,111,Banking,20.72,4.5,5.41,90.09,Positive,4.319197754401838,2341.0,0.2532258364831508
2023-05,144,Banking,22.22,9.72,13.89,76.39,Positive,3.9655169718367578,2352.913043478261,0.5088869490927461
2023-06,152,Policy,24.67,8.55,10.53,80.92,Positive,3.5651235186964003,2383.8636363636365,1.3154159254275655
2023-07,107,Investment,24.76,9.35,8.41,82.24,Positive,3.318709579798851,2438.809523809524,2.3049089976347137
2023-08,90,Banking,22.09,11.11,6.67,82.22,Positive,3.33778489328902,2488.3217391304347,2.030179677319399
2023-09,168,Agriculture,28.48,4.76,14.29,80.95,Positive,3.3293763179990776,2500.6666666666665,0.49611460375480476
2023-10,152,Banking,20.95,4.61,5.26,90.13,Positive,3.1698353082902475,2500.909090909091,0.00969438452778082
2023-11,116,Banking,19.64,4.31,8.62,87.07,Positive,3.2219852960810424,2498.090909090909,-0.11268629589240575
2023-12,122,Policy,21.19,10.66,4.1,85.25,Positive,3.031404379435143,2506.7366666666667,0.34609459344712157
2024-01,113,Agriculture,18.18,14.16,13.27,72.57,Positive,2.95991966862994,2518.2652173913043,0.45990274439029477
2024-02,190,Investment,22.04,4.74,9.47,85.79,Positive,3.028732947088386,2540.4285714285716,0.8801040448085384
2024-03,161,Policy,21.02,6.83,9.32,83.85,Positive,3.0166409861265286,2548.6190476190477,0.3224052934450494
2024-04,102,Policy,19.8,9.8,7.84,82.35,Positive,3.126488350131984,2579.9545454545455,1.2295088928559794
2024-05,167,Banking,22.09,7.19,7.19,85.63,Positive,3.071539799611389,2590.0,0.3893655631705961
2024-06,162,Policy,26.42,3.9,9.09,87.01,Positive,3.091973138457416,2614.05,0.9285714285714342
2024-07,217,Investment,20.56,5.19,8.02,86.79,Positive,2.9937482459070357,2666.2608695652175,1.9973171731687334
2024-08,222,Investment,19.63,6.31,8.56,85.14,Positive,3.146502784692662,2703.031818181818,1.3791204392763268
2024-09,141,Investment,24.46,4.26,8.51,87.23,Positive,3.1434429945987,2720.2595238095237,0.6373474966822279
2024-10,148,Policy,21.09,6.76,11.49,81.76,Positive,2.999717051201856,2713.478260869565,-0.24928735220314246
2024-11,164,Investment,22.36,7.32,12.2,80.49,Positive,2.9969813418943003,2655.714285714286,-2.1287797285233445
2024-12,129,Policy,25.0,6.98,12.4,80.62,Positive,3.1,2457.159090909091,-7.476526969533959
